»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	1/17/2022 - 20:45:55
Configured:	01/17/22 08:06:29 PM
Executed:	01/17/22 08:45:39 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	3.00e-004
Sample Thickness (µm):	5.40e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	52.00
Field:	962.96 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.1554	-19.862435
   2	1.0000e-003	2.2254	-19.100368
   3	1.5000e-003	4.3643	-18.559468
   4	2.0000e-003	6.4536	-17.874328
   5	2.5000e-003	8.4547	-17.123079
   6	3.0000e-003	10.5135	-16.260044
   7	3.5000e-003	12.6139	-15.177042
   8	4.0000e-003	14.5461	-13.963023
   9	4.5000e-003	16.6786	-12.242962
  10	5.0000e-003	18.6861	-10.050516
  11	5.5000e-003	20.6232	-7.073164
  12	6.0000e-003	22.6019	-3.187101
  13	6.5000e-003	24.6046	1.624502
  14	7.0000e-003	26.5079	7.240242
  15	7.5000e-003	28.6100	13.459386
  16	8.0000e-003	30.6640	19.900899
  17	8.5000e-003	32.7740	26.148891
  18	9.0000e-003	34.8905	31.880023
  19	9.5000e-003	37.0631	36.968085
  20	1.0000e-002	39.0385	41.355382
  21	1.0500e-002	41.2784	45.323181
  22	1.1000e-002	43.3420	48.855857
  23	1.1500e-002	45.3511	52.043558
  24	1.2000e-002	47.4820	55.089424
  25	1.2500e-002	49.4559	57.888880
  26	1.3000e-002	51.5259	60.825364
  27	1.3500e-002	49.4511	61.936011
  28	1.4000e-002	47.1103	62.539415
  29	1.4500e-002	45.1044	62.950499
  30	1.5000e-002	43.1545	63.244989
  31	1.5500e-002	41.0749	63.277443
  32	1.6000e-002	39.1106	63.240181
  33	1.6500e-002	37.1239	63.053871
  34	1.7000e-002	34.9979	62.705291
  35	1.7500e-002	32.9263	62.335075
  36	1.8000e-002	30.9412	61.862690
  37	1.8500e-002	28.8183	61.276114
  38	1.9000e-002	26.7931	60.624630
  39	1.9500e-002	24.8145	59.919057
  40	2.0000e-002	22.6563	59.052416
  41	2.0500e-002	20.6039	58.171350
  42	2.1000e-002	18.5724	57.174893
  43	2.1500e-002	16.4944	56.051024
  44	2.2000e-002	14.3907	54.808157
  45	2.2500e-002	12.4329	53.496775
  46	2.3000e-002	10.2411	51.829603
  47	2.3500e-002	8.2480	50.105936
  48	2.4000e-002	6.1555	48.044507
  49	2.4500e-002	4.1576	45.771527
  50	2.5000e-002	2.0652	42.717247
  51	2.5500e-002	0.0849	39.536757
  52	2.6000e-002	-1.8954	35.567756
  53	2.6500e-002	-3.9622	31.173247
  54	2.7000e-002	-6.0450	26.413330
  55	2.7500e-002	-8.0701	21.506770
  56	2.8000e-002	-10.2155	16.648289
  57	2.8500e-002	-12.3175	12.148004
  58	2.9000e-002	-14.3074	7.927785
  59	2.9500e-002	-16.4864	3.854210
  60	3.0000e-002	-18.6060	-0.039065
  61	3.0500e-002	-20.6408	-3.740020
  62	3.1000e-002	-22.7669	-7.421744
  63	3.1500e-002	-24.8177	-10.974853
  64	3.2000e-002	-26.8572	-14.529165
  65	3.2500e-002	-28.9577	-18.234928
  66	3.3000e-002	-31.0421	-22.018822
  67	3.3500e-002	-33.0897	-25.960177
  68	3.4000e-002	-35.1757	-29.959228
  69	3.4500e-002	-37.3130	-33.936643
  70	3.5000e-002	-39.2773	-37.722941
  71	3.5500e-002	-41.4899	-41.444330
  72	3.6000e-002	-43.5326	-44.873633
