»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.15.2
»»»  Vision Version:	5.15.9 (R)
»»»  Vision Compiled:	11/30/17
»»»  Driver Version:	5.15.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 4 Processors
»»»  Tester Name:	
»»»  Tester S/N:	PMF21217-360
»»»  Internal Amp Type:	200V RevH 100K 
»»»  Internal Amp S/N:	iAB2-391/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/22/2022 - 16:58:14
Configured:	04/22/22 02:27:44 PM
Executed:	04/22/22 04:58:00 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	2.80e-004
Sample Thickness (µm):	2.60e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	
Tester Serial Number:	PMF21217-360
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	30.00
Field:	1153.85 (kV/cm)
Hysteresis Period (ms):	1.00e-001
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	201

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
   1	5.0000e-004	-0.2019	-0.569876
   2	1.0000e-003	0.6313	0.254352
   3	1.5000e-003	1.8281	1.086307
   4	2.0000e-003	2.9897	1.920838
   5	2.5000e-003	4.2361	2.884154
   6	3.0000e-003	5.4666	3.882243
   7	3.5000e-003	6.6538	4.835256
   8	4.0000e-003	7.8859	5.770240
   9	4.5000e-003	9.0443	6.702648
  10	5.0000e-003	10.2459	7.627329
  11	5.5000e-003	11.3754	8.582918
  12	6.0000e-003	12.5018	9.458660
  13	6.5000e-003	13.7338	10.508263
  14	7.0000e-003	14.8986	11.469004
  15	7.5000e-003	16.0378	12.463229
  16	8.0000e-003	17.2298	13.458742
  17	8.5000e-003	18.4298	14.503193
  18	9.0000e-003	19.5721	15.487115
  19	9.5000e-003	20.7722	16.489067
  20	1.0000e-002	21.9257	17.590184
  21	1.0500e-002	23.1338	18.675847
  22	1.1000e-002	24.2970	19.720299
  23	1.1500e-002	25.4729	20.812401
  24	1.2000e-002	26.6233	21.822080
  25	1.2500e-002	27.8634	22.968272
  26	1.3000e-002	29.0586	24.422262
  27	1.3500e-002	28.7654	24.144085
  28	1.4000e-002	27.7977	23.748713
  29	1.4500e-002	26.7066	23.297963
  30	1.5000e-002	25.5707	22.754488
  31	1.5500e-002	24.3947	21.850413
  32	1.6000e-002	23.2107	21.090578
  33	1.6500e-002	22.0331	20.234153
  34	1.7000e-002	20.8170	19.389320
  35	1.7500e-002	19.6603	18.567667
  36	1.8000e-002	18.4410	17.636547
  37	1.8500e-002	17.2442	16.732472
  38	1.9000e-002	16.0522	15.810367
  39	1.9500e-002	14.8618	14.845763
  40	2.0000e-002	13.6521	13.819341
  41	2.0500e-002	12.4889	13.038900
  42	2.1000e-002	11.2713	11.955813
  43	2.1500e-002	10.0905	11.006663
  44	2.2000e-002	8.8616	9.860471
